id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
computer_docking_station_microsoft_surface_microsoft_1661,,Computer Docking Station Microsoft Surface Microsoft 1661,computer,docking_station,microsoft_surface,,,,microsoft,1661
computer_power_supply_microsoft_surface_docking_station_microsoft_model_1749,,Computer Power Supply Microsoft Surface Docking Station Microsoft Model 1749,computer,power_supply,microsoft_surface,,docking_station,,microsoft,model_1749
computer_power_supply_microsoft_surface_standalone_microsoft_model_1625,,Computer Power Supply Microsoft Surface Standalone Microsoft Model 1625,computer,power_supply,microsoft_surface,,standalone,,microsoft,model_1625
computer_tablet_microsoft_surface_pro_3_microsoft_1631,,Computer Tablet Microsoft Surface Pro 3 Microsoft 1631,computer,tablet,microsoft_surface,,pro_3,,microsoft,1631
computer_tablet_microsoft_surface_pro_3_microsoft_model_1631,,Computer Tablet Microsoft Surface Pro 3 Microsoft Model 1631,computer,tablet,microsoft_surface,,pro_3,,microsoft,model_1631
computer_tablet_microsoft_surface_pro_4_microsoft_model_1724,,Computer Tablet Microsoft Surface Pro 4 Microsoft Model 1724,computer,tablet,microsoft_surface,,pro_4,,microsoft,model_1724
computer_tablet_microsoft_surface_pro_5_microsoft_model_1796,,Computer Tablet Microsoft Surface Pro 5 Microsoft Model 1796,computer,tablet,microsoft_surface,,pro_5,,microsoft,model_1796
computer_tablet_microsoft_surface_pro_7_microsoft_model_1866,,Computer Tablet Microsoft Surface Pro 7 Microsoft Model 1866,computer,tablet,microsoft_surface,,pro_7,,microsoft,model_1866
computer_webcam_external_microsoft_hd_3000_model_1492,,Computer Webcam External Microsoft Hd 3000 Model 1492,computer,webcam,external,,,,microsoft,hd_3000_model_1492
eda_kicad_footprint_kicad_default_audio_module_reverb_btdr_1h,,Eda Kicad Footprint Kicad Default Audio Module Reverb Btdr 1H,kicad_footprint,kicad_default,,,audio_module,reverb_btdr_1h,,
eda_kicad_footprint_kicad_default_audio_module_reverb_btdr_1v,,Eda Kicad Footprint Kicad Default Audio Module Reverb Btdr 1V,kicad_footprint,kicad_default,,,audio_module,reverb_btdr_1v,,
eda_kicad_footprint_kicad_default_battery_batteryclip_keystone_54_d16_19mm,,Eda Kicad Footprint Kicad Default Battery Batteryclip Keystone 54 D16 19mm,kicad_footprint,kicad_default,,,battery,batteryclip_keystone_54_d16_19mm,,
eda_kicad_footprint_kicad_default_battery_batteryholder_bulgin_bx0036_1xc,,Eda Kicad Footprint Kicad Default Battery Batteryholder Bulgin Bx0036 1Xc,kicad_footprint,kicad_default,,,battery,batteryholder_bulgin_bx0036_1xc,,
eda_kicad_footprint_kicad_default_battery_batteryholder_comfortableelectronic_ch273_2450_1x2450,,Eda Kicad Footprint Kicad Default Battery Batteryholder Comfortableelectronic Ch273 2450 1X2450,kicad_footprint,kicad_default,,,battery,batteryholder_comfortableelectronic_ch273_2450_1x2450,,
eda_kicad_footprint_kicad_default_battery_batteryholder_eagle_12bh611_gr,,Eda Kicad Footprint Kicad Default Battery Batteryholder Eagle 12Bh611 Gr,kicad_footprint,kicad_default,,,battery,batteryholder_eagle_12bh611_gr,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_103_1x20mm,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 103 1X20mm,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_103_1x20mm,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_1042_1x18650,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 1042 1X18650,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_1042_1x18650,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_104_1x23mm,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 104 1X23mm,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_104_1x23mm,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_1057_1x2032,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 1057 1X2032,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_1057_1x2032,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_1058_1x2032,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 1058 1X2032,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_1058_1x2032,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_105_1x2430,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 105 1X2430,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_105_1x2430,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_1060_1x2032,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 1060 1X2032,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_1060_1x2032,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_106_1x20mm,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 106 1X20mm,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_106_1x20mm,,
eda_kicad_footprint_kicad_default_battery_batteryholder_keystone_107_1x23mm,,Eda Kicad Footprint Kicad Default Battery Batteryholder Keystone 107 1X23mm,kicad_footprint,kicad_default,,,battery,batteryholder_keystone_107_1x23mm,,
